"Age_cat","Year","Num_child","Add_child_1","Add_chl_pyy"
"20-24",2029,"5+",0,0
"20-24",2030,"5+",0,0
"20-24",2031,"5+",0,0
"20-24",2032,"5+",0,0
"20-24",2033,"5+",0,0
"20-24",2034,"5+",0,0
"20-24",2035,"5+",0,0
"20-24",2036,"5+",0,0
"20-24",2037,"5+",0,0
"20-24",2038,"5+",0,0
"20-24",2039,"5+",0,0
"20-24",2040,"5+",0,0
"25-29",2020,"0",0.663599999999992,0.132719999999998
"25-29",2021,"0",0.645799999999995,0.129159999999999
"25-29",2022,"0",0.627999999999993,0.125599999999999
"25-29",2023,"0",0.610199999999991,0.122039999999998
"25-29",2024,"0",0.592399999999993,0.118479999999999
"25-29",2025,"0",0.574599999999991,0.114919999999998
"25-29",2026,"0",0.556799999999989,0.111359999999998
"25-29",2027,"0",0.538999999999992,0.107799999999998
"25-29",2028,"0",0.52119999999999,0.104239999999998
"25-29",2029,"0",0.503399999999988,0.100679999999998
"25-29",2030,"0",0.48559999999999,0.0971199999999981
"25-29",2031,"0",0.467799999999988,0.0935599999999977
"25-29",2032,"0",0.449999999999986,0.0899999999999973
"25-29",2033,"0",0.432199999999989,0.0864399999999978
"25-29",2034,"0",0.414399999999987,0.0828799999999974
"25-29",2035,"0",0.396599999999989,0.0793199999999979
"25-29",2036,"0",0.378799999999987,0.0757599999999975
"25-29",2037,"0",0.360999999999985,0.0721999999999971
"25-29",2038,"0",0.343199999999988,0.0686399999999976
"25-29",2039,"0",0.325399999999986,0.0650799999999972
"25-29",2040,"0",0.307599999999984,0.0615199999999968
"25-29",2020,"1",0.33979999999999,0.067959999999998
"25-29",2021,"1",0.322999999999992,0.0645999999999984
"25-29",2022,"1",0.306399999999991,0.0612799999999982
"25-29",2023,"1",0.29139999999999,0.0582799999999979
"25-29",2024,"1",0.27639999999999,0.0552799999999979
"25-29",2025,"1",0.26139999999999,0.0522799999999979
"25-29",2026,"1",0.246399999999988,0.0492799999999977
"25-29",2027,"1",0.23319999999999,0.0466399999999981
"25-29",2028,"1",0.220999999999992,0.0441999999999984
"25-29",2029,"1",0.20879999999999,0.0417599999999979
"25-29",2030,"1",0.196599999999992,0.0393199999999983
"25-29",2031,"1",0.184399999999989,0.0368799999999978
"25-29",2032,"1",0.172199999999991,0.0344399999999982
"25-29",2033,"1",0.165999999999995,0.0331999999999989
"25-29",2034,"1",0.159999999999995,0.0319999999999991
"25-29",2035,"1",0.153999999999994,0.0307999999999988
"25-29",2036,"1",0.147999999999995,0.029599999999999
"25-29",2037,"1",0.141999999999994,0.0283999999999987
"25-29",2038,"1",0.135999999999995,0.0271999999999989
"25-29",2039,"1",0.129999999999993,0.0259999999999986
"25-29",2040,"1",0.123999999999994,0.0247999999999988
"25-29",2020,"2",0.0957999999999936,0.0191599999999987
"25-29",2021,"2",0.0849999999999949,0.016999999999999
"25-29",2022,"2",0.0743999999999949,0.014879999999999
"25-29",2023,"2",0.0653999999999928,0.0130799999999986
"25-29",2024,"2",0.0563999999999942,0.0112799999999988
"25-29",2025,"2",0.0473999999999933,0.00947999999999865
"25-29",2026,"2",0.0383999999999935,0.0076799999999987
"25-29",2027,"2",0.0311999999999944,0.00623999999999887
"25-29",2028,"2",0.0249999999999955,0.00499999999999909
"25-29",2029,"2",0.0187999999999943,0.00375999999999885
"25-29",2030,"2",0.0125999999999954,0.00251999999999907
"25-29",2031,"2",0.00639999999999418,0.00127999999999884
"25-29",2032,"2",0.000199999999995271,3.99999999990541e-05
"25-29",2033,"2",0,0
"25-29",2034,"2",0,0
"25-29",2035,"2",0,0
"25-29",2036,"2",0,0
"25-29",2037,"2",0,0
"25-29",2038,"2",0,0
"25-29",2039,"2",0,0
"25-29",2040,"2",0,0
"25-29",2020,"3",0.0211999999999978,0.00423999999999955
"25-29",2021,"3",0.016599999999998,0.0033199999999996
"25-29",2022,"3",0.0121999999999991,0.00243999999999983
"25-29",2023,"3",0.00939999999999827,0.00187999999999965
"25-29",2024,"3",0.00659999999999854,0.00131999999999971
