"Age_cat","Year","Num_child","Percentage","probs"
"40-44",2027,"1",18.9400000000003,0.189400000000003
"40-44",2028,"1",19.5700000000002,0.195700000000002
"40-44",2029,"1",20.2000000000003,0.202000000000003
"40-44",2030,"1",20.8300000000004,0.208300000000004
"40-44",2031,"1",21.4600000000003,0.214600000000003
"40-44",2032,"1",22.0900000000004,0.220900000000004
"40-44",2033,"1",22.7200000000003,0.227200000000003
"40-44",2034,"1",23.3500000000004,0.233500000000004
"40-44",2035,"1",23.9800000000002,0.239800000000002
"40-44",2036,"1",24.6100000000004,0.246100000000004
"40-44",2037,"1",25.2400000000005,0.252400000000005
"40-44",2038,"1",25.8700000000003,0.258700000000003
"40-44",2039,"1",26.5000000000005,0.265000000000005
"40-44",2040,"1",27.1300000000003,0.271300000000003
"40-44",2020,"2",28.3500000000001,0.283500000000001
"40-44",2021,"2",28.7200000000001,0.287200000000001
"40-44",2022,"2",29.0900000000001,0.290900000000001
"40-44",2023,"2",29.4600000000002,0.294600000000002
"40-44",2024,"2",29.8300000000002,0.298300000000002
"40-44",2025,"2",30.2000000000002,0.302000000000002
"40-44",2026,"2",30.5700000000003,0.305700000000003
"40-44",2027,"2",30.9400000000003,0.309400000000003
"40-44",2028,"2",31.3100000000003,0.313100000000003
"40-44",2029,"2",31.6800000000003,0.316800000000003
"40-44",2030,"2",32.0500000000003,0.320500000000003
"40-44",2031,"2",32.4200000000003,0.324200000000003
"40-44",2032,"2",32.7900000000003,0.327900000000003
"40-44",2033,"2",33.1600000000003,0.331600000000003
"40-44",2034,"2",33.5300000000003,0.335300000000003
